project,groupId,cloneType,consistId,inconsistentGroup,fileNum
incubatordoris,10576,3,0,3#4,1
incubatordoris,10576,3,0,4#3,1
incubatordoris,10796,3,0,4#3,2
incubatordoris,10288,3,0,4#3,1
incubatordoris,10288,3,0,5#6,1
incubatordoris,10288,3,0,6#5,1
incubatordoris,101010,3,0,3#4,2
incubatordoris,101199,3,0,3#4,1
incubatordoris,101199,3,0,5#6,1
incubatordoris,10561,3,0,4#3,1
incubatordoris,10283,3,0,3#4,1
incubatordoris,10283,3,0,4#3,1
incubatordoris,10541,3,0,4#3,1
incubatordoris,10443,3,0,3#4,1
incubatordoris,10443,3,0,4#3,1
incubatordoris,10443,3,0,5#6,1
incubatordoris,101380,3,0,3#4,1
incubatordoris,101380,3,0,6#5,1
incubatordoris,101380,3,0,7#8,1
incubatordoris,101380,3,0,8#7,1
incubatordoris,101445,3,0,4#3,1
incubatordoris,101445,3,0,6#5,1
incubatordoris,101445,3,0,8#7,1
incubatordoris,101445,3,0,10#9,1
incubatordoris,101445,3,0,12#11,1
incubatordoris,10118,3,0,4#3,1
incubatordoris,101535,2,0,4#3,2
incubatordoris,10119,3,0,3#4,1
incubatordoris,10280,3,0,3#4,1
incubatordoris,10280,3,0,4#3,1
incubatordoris,10854,2,0,3#4,2
incubatordoris,10573,3,0,3#4,1
incubatordoris,10573,3,0,4#3,1
incubatordoris,10504,3,0,3#4,1
incubatordoris,10504,3,0,5#6,1
incubatordoris,101353,3,0,3#4,2
incubatordoris,10300,3,0,4#3,2
incubatordoris,101250,2,0,3#4,2
incubatordoris,101250,2,0,4#3,2
incubatordoris,101250,3,0,6#5,2
incubatordoris,111614,3,0,3#4,1
incubatordoris,111614,3,0,4#3,1
incubatordoris,101563,3,0,4#3,2
incubatordoris,101563,3,0,5#6,2
incubatordoris,10296,3,0,3#4,1
incubatordoris,101131,3,0,3#4,2
incubatordoris,101131,3,0,6#5,2
incubatordoris,101131,3,0,7#8,2
incubatordoris,101012,3,0,4#3,2
incubatordoris,101063,3,0,3#4,1
incubatordoris,101298,2,0,3#4,2
incubatordoris,10868,2,0,3#4,2
incubatordoris,10868,2,0,4#3,2
incubatordoris,101013,3,0,4#3,2
incubatordoris,101130,3,0,3#4,2
incubatordoris,101130,3,0,6#5,2
incubatordoris,101130,3,0,7#8,2
incubatordoris,101122,3,0,3#4,2
incubatordoris,10600,3,0,3#4,1
incubatordoris,10600,3,0,4#3,1
incubatordoris,101289,3,0,3#4,2
incubatordoris,101289,3,0,4#3,2
incubatordoris,101289,3,0,5#6,2
incubatordoris,101289,3,0,7#8,2
incubatordoris,101289,3,0,8#7,2
incubatordoris,101289,3,0,9#10,2
incubatordoris,101164,3,0,3#4,2
incubatordoris,101520,3,0,3#4,1
incubatordoris,101520,3,0,4#3,1
incubatordoris,101520,3,0,5#6,1
incubatordoris,101520,3,0,6#5,1
incubatordoris,1034,3,0,3#4,1
incubatordoris,101677,3,0,3#4,1
incubatordoris,101677,3,0,5#6,1
incubatordoris,101677,3,0,6#5,1
incubatordoris,101157,3,0,3#4,2
incubatordoris,101157,3,0,6#5,2
incubatordoris,10502,3,0,3#4,1
incubatordoris,10502,3,0,5#6,1
incubatordoris,10969,3,0,4#3,1
incubatordoris,101544,3,0,3#4,2
incubatordoris,101544,3,0,5#6,2
incubatordoris,101544,3,0,7#8,2
incubatordoris,101544,3,0,9#10,2
incubatordoris,101544,3,0,11#12,2
incubatordoris,101544,3,0,13#14,2
incubatordoris,101544,3,0,15#16,2
incubatordoris,101337,3,0,3#4,2
incubatordoris,10426,3,0,4#3,1
incubatordoris,10538,3,0,3#4,1
incubatordoris,10114,3,0,4#3,1
incubatordoris,101503,3,0,3#4,1
incubatordoris,10871,3,0,4#3,2
incubatordoris,101150,3,0,3#4,2
incubatordoris,101307,3,0,3#4,2
incubatordoris,10992,3,0,3#4,2
incubatordoris,121095,3,0,4#3,1
incubatordoris,10886,3,0,4#3,2
incubatordoris,10886,3,0,6#5,2
incubatordoris,101672,3,0,3#4,1
incubatordoris,101672,3,0,5#6,1
incubatordoris,101672,3,0,7#8,1
incubatordoris,101672,3,0,9#10,1
incubatordoris,10546,3,0,4#3,1
incubatordoris,10731,3,0,4#3,2
incubatordoris,10575,3,0,3#4,1
incubatordoris,10575,3,0,4#3,1
incubatordoris,10836,3,0,3#4,2
incubatordoris,101080,3,0,4#3,1
incubatordoris,101080,3,0,5#6,1
incubatordoris,10749,3,0,4#3,2
incubatordoris,101058,3,0,3#4,1
incubatordoris,101058,3,0,5#6,1
incubatordoris,10776,3,0,4#3,2
incubatordoris,10603,3,0,4#3,2
incubatordoris,101094,3,0,3#4,1
incubatordoris,101094,3,0,5#6,1
incubatordoris,101094,3,0,7#8,1
incubatordoris,10636,3,0,3#4,2
dbeaver,10532,3,0,3#4,1
dbeaver,10532,3,0,5#6,1
dbeaver,10532,3,0,7#8,1
dbeaver,10532,3,0,8#7,1
dbeaver,10532,3,0,9#10,1
dbeaver,10532,3,0,10#9,1
dbeaver,10532,3,0,11#12,1
dbeaver,10532,3,0,13#14,1
dbeaver,10532,3,0,17#18,1
dbeaver,10532,3,0,19#20,1
dbeaver,10532,3,0,21#22,1
